1,A Light in the Attic,51.77,In stock,22,3,a897fe39b1053632
2,Tipping the Velvet,53.74,In stock,20,1,90fa61229261140a
3,Soumission,50.1,In stock,20,1,6957f44c3847a760
4,Sharp Objects,47.82,In stock,20,4,e00eb4fd7b871a48
5,Sapiens: A Brief History of Humankind,54.23,In stock,20,5,4165285e1663650f
6,The Requiem Red,22.65,In stock,19,1,f77dbf2323deb740
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,19,4,2597b5a345f45e1b
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,19,3,e72a5dfc7e9267b2
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,19,4,e10e1e165dc8be4a
10,The Black Maria,52.15,In stock,19,1,1dfe412b8ac00530
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,19,2,0312262ecafa5a40
12,Shakespeare's Sonnets,20.66,In stock,19,4,30a7f60cd76ca58c
13,Set Me Free,17.46,In stock,19,5,ce6396b0f23f6ecc
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,19,5,3b1c02bac2a429e6
15,Rip it Up and Start Again,35.02,In stock,19,5,a34ba96d4081e6a4
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,19,3,deda3e61b9514b83
17,Olio,23.88,In stock,19,1,feb7cc7701ecf901
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,19,1,e30f54cea9b38190
19,Libertarianism for Beginners,51.33,In stock,19,2,a18a4f574854aced
20,It's Only the Himalayas,45.17,In stock,19,2,a22124811bfa8350
21,In Her Wake,12.84,In stock,19,1,23356462d1320d61
22,How Music Works,37.32,In stock,19,2,327f68a59745c102
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,19,3,5674a18a29a43ced
24,Chase Me (Paris Nights #2),25.27,In stock,19,5,c2e46a2ee3b4a322
25,Black Dust,34.53,In stock,19,5,00bfed9e18bb36f3
26,Birdsong: A Story in Pictures,54.64,In stock,19,3,9528d0948525bf5f
